hitId,queryId,docId,workerId,assignmentId,time,trecScore,workerScore,trecBinaryScore,workerBinaryScore
301,66_7,MARCO_5116168,A1IBKP5PBH5EHC,3X31TUMD722WU5DEQPN7RPVWJHG1LN,57000,0,1,0,0
301,66_7,MARCO_5153919,A1IBKP5PBH5EHC,3X31TUMD722WU5DEQPN7RPVWJHG1LN,57000,0,0,0,0
301,66_7,MARCO_5245952,A1IBKP5PBH5EHC,3X31TUMD722WU5DEQPN7RPVWJHG1LN,57000,0,0,0,0
301,66_7,MARCO_5258323,A1IBKP5PBH5EHC,3X31TUMD722WU5DEQPN7RPVWJHG1LN,57000,0,0,0,0
301,66_7,MARCO_5258896,A1IBKP5PBH5EHC,3X31TUMD722WU5DEQPN7RPVWJHG1LN,57000,0,0,0,0
119,66_3,MARCO_8244257,A1IBKP5PBH5EHC,308XBLVESNK8A1QJX6DSJDH4A3RRBG,64000,0,0,0,0
119,66_3,MARCO_8244262,A1IBKP5PBH5EHC,308XBLVESNK8A1QJX6DSJDH4A3RRBG,64000,0,0,0,0
119,66_3,MARCO_8244263,A1IBKP5PBH5EHC,308XBLVESNK8A1QJX6DSJDH4A3RRBG,64000,0,2,0,1
119,66_3,MARCO_8253689,A1IBKP5PBH5EHC,308XBLVESNK8A1QJX6DSJDH4A3RRBG,64000,0,0,0,0
119,66_3,MARCO_8311373,A1IBKP5PBH5EHC,308XBLVESNK8A1QJX6DSJDH4A3RRBG,64000,0,0,0,0
241,66_6,MARCO_4675437,A1IBKP5PBH5EHC,37QW5D2ZRL219ISP9JTNILWZO93S84,117000,0,4,0,1
241,66_6,MARCO_4675439,A1IBKP5PBH5EHC,37QW5D2ZRL219ISP9JTNILWZO93S84,117000,0,3,0,1
241,66_6,MARCO_4675441,A1IBKP5PBH5EHC,37QW5D2ZRL219ISP9JTNILWZO93S84,117000,0,1,0,0
241,66_6,MARCO_4675442,A1IBKP5PBH5EHC,37QW5D2ZRL219ISP9JTNILWZO93S84,117000,0,1,0,0
241,66_6,MARCO_4823981,A1IBKP5PBH5EHC,37QW5D2ZRL219ISP9JTNILWZO93S84,117000,0,0,0,0
282,66_7,MARCO_2140650,A1IBKP5PBH5EHC,3XLBSAQ9Z9SUAG9KU6VP0EX71CGZ7T,86000,0,0,0,0
282,66_7,MARCO_2158323,A1IBKP5PBH5EHC,3XLBSAQ9Z9SUAG9KU6VP0EX71CGZ7T,86000,0,0,0,0
282,66_7,MARCO_2293760,A1IBKP5PBH5EHC,3XLBSAQ9Z9SUAG9KU6VP0EX71CGZ7T,86000,0,0,0,0
282,66_7,MARCO_231046,A1IBKP5PBH5EHC,3XLBSAQ9Z9SUAG9KU6VP0EX71CGZ7T,86000,0,0,0,0
282,66_7,MARCO_2346602,A1IBKP5PBH5EHC,3XLBSAQ9Z9SUAG9KU6VP0EX71CGZ7T,86000,0,0,0,0
188,66_5,MARCO_3438980,A1IBKP5PBH5EHC,37TRT2X24V7RCD76P14JHMVD0VJBJC,52000,0,0,0,0
188,66_5,MARCO_3441231,A1IBKP5PBH5EHC,37TRT2X24V7RCD76P14JHMVD0VJBJC,52000,0,0,0,0
188,66_5,MARCO_344978,A1IBKP5PBH5EHC,37TRT2X24V7RCD76P14JHMVD0VJBJC,52000,0,0,0,0
188,66_5,MARCO_3478353,A1IBKP5PBH5EHC,37TRT2X24V7RCD76P14JHMVD0VJBJC,52000,0,0,0,0
188,66_5,MARCO_3627787,A1IBKP5PBH5EHC,37TRT2X24V7RCD76P14JHMVD0VJBJC,52000,0,0,0,0
205,66_5,MARCO_728505,A1IBKP5PBH5EHC,3NVC2EB65VFC47YSW8QG9QCPP7N3YF,97000,0,0,0,0
205,66_5,MARCO_728506,A1IBKP5PBH5EHC,3NVC2EB65VFC47YSW8QG9QCPP7N3YF,97000,0,2,0,1
205,66_5,MARCO_728507,A1IBKP5PBH5EHC,3NVC2EB65VFC47YSW8QG9QCPP7N3YF,97000,0,2,0,1
205,66_5,MARCO_728508,A1IBKP5PBH5EHC,3NVC2EB65VFC47YSW8QG9QCPP7N3YF,97000,0,1,0,0
205,66_5,CAR_274c8ec9581885eaa0fa78e3dca5285b0cd05f2f,A1IBKP5PBH5EHC,3NVC2EB65VFC47YSW8QG9QCPP7N3YF,97000,0,0,0,0
250,66_6,CAR_19aecf116b73134eade7d7e47cd8fae11396f12d,A1IBKP5PBH5EHC,35USIKEBNWWHPRHW88F3ZDQ2VFAN66,34000,0,0,0,0
250,66_6,MARCO_6341500,A1IBKP5PBH5EHC,35USIKEBNWWHPRHW88F3ZDQ2VFAN66,34000,0,0,0,0
250,66_6,MARCO_6341502,A1IBKP5PBH5EHC,35USIKEBNWWHPRHW88F3ZDQ2VFAN66,34000,0,0,0,0
250,66_6,MARCO_6341505,A1IBKP5PBH5EHC,35USIKEBNWWHPRHW88F3ZDQ2VFAN66,34000,0,0,0,0
250,66_6,MARCO_6445459,A1IBKP5PBH5EHC,35USIKEBNWWHPRHW88F3ZDQ2VFAN66,34000,0,0,0,0
62,66_2,MARCO_594612,A1IBKP5PBH5EHC,3PPTZCWALV04GYEZQ54V05E25CBQZ4,57000,0,0,0,0
62,66_2,CAR_191bd57094d680ffe5da4220737bb46c22a16a7c,A1IBKP5PBH5EHC,3PPTZCWALV04GYEZQ54V05E25CBQZ4,57000,0,0,0,0
62,66_2,MARCO_6054351,A1IBKP5PBH5EHC,3PPTZCWALV04GYEZQ54V05E25CBQZ4,57000,0,0,0,0
62,66_2,MARCO_6054354,A1IBKP5PBH5EHC,3PPTZCWALV04GYEZQ54V05E25CBQZ4,57000,0,4,0,1
62,66_2,MARCO_6068008,A1IBKP5PBH5EHC,3PPTZCWALV04GYEZQ54V05E25CBQZ4,57000,0,3,0,1
124,66_4,CAR_3bad5823d2a0a8096b877382c43d009e046e997b,A1IBKP5PBH5EHC,3AZHRG4CU90F7C27O0F7HYI5DMT03G,111000,0,0,0,0
124,66_4,CAR_3ca9d6d64f0822817bff36c86fc8424046803c22,A1IBKP5PBH5EHC,3AZHRG4CU90F7C27O0F7HYI5DMT03G,111000,0,4,0,1
124,66_4,CAR_3eafefa64e48e60656c6da2190d778f6fed6076b,A1IBKP5PBH5EHC,3AZHRG4CU90F7C27O0F7HYI5DMT03G,111000,0,0,0,0
124,66_4,CAR_4411736fa7bb54d3dfd97aa9669e095cfcba0561,A1IBKP5PBH5EHC,3AZHRG4CU90F7C27O0F7HYI5DMT03G,111000,0,0,0,0
124,66_4,CAR_4417b3aac776923298c43297cebddf4024e998be,A1IBKP5PBH5EHC,3AZHRG4CU90F7C27O0F7HYI5DMT03G,111000,0,0,0,0
69,66_2,MARCO_7197519,A1IBKP5PBH5EHC,3BV8HQ2ZZ1HA58N7Z4AYD762WQXA6V,41000,0,0,0,0
69,66_2,MARCO_721327,A1IBKP5PBH5EHC,3BV8HQ2ZZ1HA58N7Z4AYD762WQXA6V,41000,0,0,0,0
69,66_2,MARCO_721330,A1IBKP5PBH5EHC,3BV8HQ2ZZ1HA58N7Z4AYD762WQXA6V,41000,0,0,0,0
69,66_2,MARCO_728505,A1IBKP5PBH5EHC,3BV8HQ2ZZ1HA58N7Z4AYD762WQXA6V,41000,0,3,0,1
69,66_2,MARCO_728509,A1IBKP5PBH5EHC,3BV8HQ2ZZ1HA58N7Z4AYD762WQXA6V,41000,0,1,0,0
236,66_6,MARCO_3828962,A1IBKP5PBH5EHC,3DQQ64TANL1FMR8FF55Z1WUAJVWWP2,96000,0,2,0,1
236,66_6,MARCO_3828966,A1IBKP5PBH5EHC,3DQQ64TANL1FMR8FF55Z1WUAJVWWP2,96000,0,0,0,0
236,66_6,MARCO_3828968,A1IBKP5PBH5EHC,3DQQ64TANL1FMR8FF55Z1WUAJVWWP2,96000,0,2,0,1
236,66_6,MARCO_4054522,A1IBKP5PBH5EHC,3DQQ64TANL1FMR8FF55Z1WUAJVWWP2,96000,0,0,0,0
236,66_6,MARCO_4064847,A1IBKP5PBH5EHC,3DQQ64TANL1FMR8FF55Z1WUAJVWWP2,96000,0,0,0,0
55,66_2,MARCO_4148561,A1IBKP5PBH5EHC,3BGYGHDBB20XI492ZN5GHC6S4XX22T,110000,0,0,0,0
55,66_2,MARCO_420942,A1IBKP5PBH5EHC,3BGYGHDBB20XI492ZN5GHC6S4XX22T,110000,0,0,0,0
55,66_2,MARCO_4254602,A1IBKP5PBH5EHC,3BGYGHDBB20XI492ZN5GHC6S4XX22T,110000,0,3,0,1
55,66_2,MARCO_430496,A1IBKP5PBH5EHC,3BGYGHDBB20XI492ZN5GHC6S4XX22T,110000,0,0,0,0
55,66_2,MARCO_4308052,A1IBKP5PBH5EHC,3BGYGHDBB20XI492ZN5GHC6S4XX22T,110000,0,0,0,0
6,66_1,CAR_992d94b63f63eb2ecd19b3f517073d0915e66e90,A1IBKP5PBH5EHC,3RJSC4XJ15AILRPB2J30WVGPQMZ05S,110000,0,0,0,0
6,66_1,CAR_9d6b4b745c14a0163100b69105845c01dafb925a,A1IBKP5PBH5EHC,3RJSC4XJ15AILRPB2J30WVGPQMZ05S,110000,0,0,0,0
6,66_1,CAR_a0de57db1c7977a783e17ba74cc31b281315c2b4,A1IBKP5PBH5EHC,3RJSC4XJ15AILRPB2J30WVGPQMZ05S,110000,0,4,0,1
6,66_1,CAR_a2242176d6899f80a29b3c28cd1d2f2b3fc39896,A1IBKP5PBH5EHC,3RJSC4XJ15AILRPB2J30WVGPQMZ05S,110000,0,0,0,0
6,66_1,CAR_b3f35e8f62a76c92e85cd8621a3bc79ecdc44159,A1IBKP5PBH5EHC,3RJSC4XJ15AILRPB2J30WVGPQMZ05S,110000,0,4,0,1
44,66_2,MARCO_1480981,A1IBKP5PBH5EHC,3OS4RQUCREVB7BLA6BDY2O3L77BFBO,52000,0,0,0,0
44,66_2,CAR_05f0685bba92de2c012d4b99b530887b19e018f4,A1IBKP5PBH5EHC,3OS4RQUCREVB7BLA6BDY2O3L77BFBO,52000,0,0,0,0
