HITid,AssignmentId,WorkerId,Time,Minutes,Input Time (s),Query Time (s),Query,Description,Category,doc1id,doc1selected,doc2id,doc2selected,doc3id,doc3selected,doc4id,doc4selected,doc5id,doc5selected,doc6id,doc6selected,doc7id,doc7selected,doc8id,doc8selected,doc9id,doc9selected,doc10id,doc10selected,doc11id,doc11selected,doc12id,doc12selected,doc13id,doc13selected,Num Relevant Selected,Num NR Selected
3TZ0XG8CCY0GHJYWABNVD6VNOC9981,3ZGVPD4G6YXH8E6R79YQ5APRZVEZTX,A38IPIPA3T3G4,103.0,1.7166666666666666,42.506,0.0," what is the origin of the buddha?"," "," Spirituality"," clueweb09-en0003-47-03681",true," random-clueweb09-en0008-13-05976",false," clueweb09-enwp01-82-08129",true," clueweb09-en0011-80-15250",false," nr-clueweb09-enwp01-78-16680",false," clueweb09-enwp00-08-14350",false," clueweb09-en0010-15-04519",false," clueweb09-en0007-74-11947",false," clueweb09-en0002-83-07685",true," clueweb09-en0004-31-30696",true," clueweb09-en0004-09-12770",false," clueweb09-en0009-23-32152",false," nr-clueweb09-enwp00-26-16680",false,4,0
3TZ0XG8CCY0GHJYWABNVD6VNOC9981,33F859I56BTVL7CG111Y59F0XYYBHU,A49A0FF6ZXYDU,61.0,1.0166666666666666,27.928,0.0," amitriptyline suicide cocktail"," "," Health &amp; Wellness"," clueweb09-en0008-29-36960",false," clueweb09-en0002-73-11402",true," random-clueweb09-en0008-31-37861",false," clueweb09-en0010-79-07130",false," clueweb09-en0000-05-32780",false," clueweb09-en0002-86-21361",false," clueweb09-en0007-29-25256",false," nr-clueweb09-en0006-10-26771",false," clueweb09-en0005-30-36734",false," clueweb09-en0007-34-04067",false," clueweb09-en0006-83-38059",false," clueweb09-en0005-09-06058",false," nr-clueweb09-en0003-04-22336",false,1,0
3TZ0XG8CCY0GHJYWABNVD6VNOC9981,37XITHEIS1PRK6IPB69NUXNO2SWCRZ,A195MOXRMNHRVT,665.0,11.083333333333334,11.221,0.0," biology gre prep"," "," Education"," nr-clueweb09-en0006-41-10512",false," clueweb09-en0011-54-16545",true," clueweb09-en0007-09-17538",true," clueweb09-en0008-60-36194",false," clueweb09-en0000-68-18586",false," clueweb09-en0011-54-16529",false," clueweb09-en0006-79-29439",false," clueweb09-en0007-30-11129",true," clueweb09-en0007-09-17551",false," random-clueweb09-en0007-09-17000",false," clueweb09-en0009-29-08215",false," clueweb09-en0000-75-04805",false," nr-clueweb09-en0008-98-18069",false,3,0
3TZ0XG8CCY0GHJYWABNVD6VNOC9981,3N2BF7Y2VVAR4YGDSQR7JPQU9X3MHV,ALDKDKRBR4LXD,64.0,1.0666666666666667,19.753,0.0," dr wayne dyer"," "," Spirituality"," clueweb09-en0009-89-15985",true," nr-clueweb09-enwp03-04-17318",false," random-clueweb09-en0006-35-27399",true," clueweb09-en0009-89-15972",true," clueweb09-en0009-62-16188",true," clueweb09-en0008-22-28727",true," clueweb09-enwp01-38-02607",true," clueweb09-en0004-95-25930",true," clueweb09-en0002-18-28299",true," clueweb09-en0005-69-30604",true," clueweb09-en0002-25-11320",true," clueweb09-en0004-17-13935",true," nr-clueweb09-enwp01-14-25240",false,10,1
3TZ0XG8CCY0GHJYWABNVD6VNOC9981,3K4J6M3CXJ9C21CDBHJKPYJT0G2AG1,A1F6MWP9A0XLJQ,132.0,2.2,36.958,0.0," Real estate market"," "," Economy &amp; Finance"," clueweb09-en0002-87-17737",false," clueweb09-en0009-81-26394",false," random-clueweb09-en0007-09-17000",false," clueweb09-en0000-59-11779",false," clueweb09-en0011-17-02561",true," clueweb09-en0002-52-25544",true," clueweb09-en0002-45-00690",false," clueweb09-en0009-43-34489",false," clueweb09-en0002-52-25571",false," clueweb09-en0000-59-20257",false," nr-clueweb09-en0003-64-07476",false," clueweb09-en0002-37-30211",true," nr-clueweb09-en0003-64-07364",false,3,0
3IWA71V4UMWJE1X6KCWB9VLEPKA6XV,3EJPLAJKERWB6GVFBWQXU0XDFN3Z6M,A49A0FF6ZXYDU,62.0,1.0333333333333334,35.219,0.0," status of upsala college new jersey"," "," Education"," clueweb09-enwp00-57-00872",true," clueweb09-en0009-84-36405",false," clueweb09-en0005-73-30229",false," clueweb09-en0005-58-21534",false," clueweb09-enwp00-92-15810",false," nr-clueweb09-en0001-01-20093",false," clueweb09-en0004-50-16788",false," random-clueweb09-en0009-06-35915",false," clueweb09-en0008-72-36483",false," clueweb09-en0009-11-30339",false," clueweb09-en0011-09-17899",false," clueweb09-en0009-10-03439",false," nr-clueweb09-enwp03-14-02056",false,1,0
3IWA71V4UMWJE1X6KCWB9VLEPKA6XV,3X4MXAO0BL40Y4OUSX9O6RURU8DWRR,A195MOXRMNHRVT,119.0,1.9833333333333334,52.73,0.0," unemployment rate"," "," Politics"," random-clueweb09-en0002-82-08074",false," clueweb09-en0008-26-00666",false," clueweb09-en0006-61-31151",false," nr-clueweb09-en0001-45-32557",false," clueweb09-en0003-54-24048",false," clueweb09-en0003-54-24049",false," clueweb09-en0008-25-01569",false," clueweb09-en0004-10-07851",false," clueweb09-en0006-76-25908",false," clueweb09-en0005-88-10766",false," clueweb09-enwp01-31-02328",true," clueweb09-en0000-82-06265",false," nr-clueweb09-en0007-40-35151",true,1,1
3IWA71V4UMWJE1X6KCWB9VLEPKA6XV,3YT88D1N0DEHK29BSTPP0IXG1NQ3K0,A38IPIPA3T3G4,101.0,1.6833333333333333,72.072,0.0," Leonardo da Vinci"," "," Arts"," clueweb09-en0011-13-39606",true," clueweb09-en0007-99-29843",true," clueweb09-en0010-80-06380",true," clueweb09-en0001-19-13654",false," clueweb09-en0010-80-06390",false," clueweb09-en0009-78-09560",false," clueweb09-en0010-39-03605",true," clueweb09-en0002-59-07337",false," random-clueweb09-en0008-13-05976",false," clueweb09-en0007-52-31278",true," nr-clueweb09-enwp01-10-23585",false," clueweb09-en0009-78-09573",false," nr-clueweb09-enwp01-04-24523",false,5,0
3IWA71V4UMWJE1X6KCWB9VLEPKA6XV,3SB5N7Y3O8KG1OEVJFMR0S7GRUPG0F,ALDKDKRBR4LXD,44.0,0.7333333333333333,21.269,0.0," Mona Lisa"," "," Arts"," clueweb09-en0011-85-04728",true," random-clueweb09-en0005-94-21396",false," nr-clueweb09-en0007-66-04065",false," clueweb09-en0009-65-28044",false," clueweb09-en0006-91-10293",false," clueweb09-enwp01-49-03223",true," clueweb09-en0010-23-22483",true," clueweb09-enwp01-85-12380",true," clueweb09-en0001-67-26528",false," clueweb09-en0009-96-31951",false," clueweb09-en0007-44-37518",false," clueweb09-en0004-45-17333",false," nr-clueweb09-en0002-21-10006",false,4,0
3IWA71V4UMWJE1X6KCWB9VLEPKA6XV,3GA6AFUKOT4QIC83M8MSNQHO96N3HX,AI4AO0O0WIJF7,80.0,1.3333333333333333,25.95,0.0," new dinosaur"," "," Science"," clueweb09-en0003-97-19191",false," clueweb09-en0000-62-19496",true," clueweb09-en0009-02-12785",true," clueweb09-en0008-13-11274",false," clueweb09-en0001-78-12937",false," clueweb09-en0007-84-16401",false," nr-clueweb09-en0008-29-30689",false," clueweb09-en0009-77-14502",false," clueweb09-en0005-43-31045",false," clueweb09-en0009-26-15066",false," clueweb09-enwp00-42-24737",false," random-clueweb09-en0006-26-18498",false," nr-clueweb09-en0008-51-32226",false,2,0
