HITid,AssignmentId,WorkerId,Category,Query,Num Selected,Num NR Selected,Reject
3OQQD2WO9MMNRNLT2OYCZIMGAWEI3S,3EG49X351ZSM1LV0AE2CXFH5CY66XU,A1YSYI926BBOHW," Sports"," What NBA team has the highest payroll",3,0,a
3OQQD2WO9MMNRNLT2OYCZIMGAWEI3S,3AMYWKA6YG2Z7CH89NFGE2QC0U2O68,A1SX8IVV82M0LW," History"," neuschwanstein castle touring",3,1,a
3OQQD2WO9MMNRNLT2OYCZIMGAWEI3S,3DIP6YHAPH80ZZN78O9IT4SP2NN8EB,A2H1RXUC8XNNIW," Economy &amp; Finance"," how to invest in brazil",4,0,a
3OQQD2WO9MMNRNLT2OYCZIMGAWEI3S,3SUWZRL0M3TDVL4JF9CK9QWYWSXE6V,A23KAJRDVCVGOE," Sports"," What are some of the most famous athletes in history",0,0,a
3OQQD2WO9MMNRNLT2OYCZIMGAWEI3S,3FUI0JHJP2EBO4147NXQJWGHVC633O,A2O0B9KWB7RSTO," Pets"," Most popular dog breeds",2,0,a
3OQQD2WO9MMNRNLT2OYCZIMGAWEI3S,3SKEMFQBZ8L3LZFH4AKLRZ5UMKJK87,A1VMPZVVVZUCS4," Education"," how to get reluctant readers to read more",9,0,a
3OQQD2WO9MMNRNLT2OYCZIMGAWEI3S,33IZTU6J86HROJTXHR5FYKDXUN5SX4,A2CWJRAEFZ44HU," Politics"," south africa election results",6,0,a
3OQQD2WO9MMNRNLT2OYCZIMGAWEI3S,3DEL4X4ELB1OK556GXX4G61YB80XYM,A1E77HZO63E334," Any"," Sean Casey",5,0,a
3OQQD2WO9MMNRNLT2OYCZIMGAWEI3S,3VELCLL3GPZAUD3I4EK9WCQH0IX1F3,A3RYI5HXC2MJLN," Arts"," mona lisa",3,0,a
3OQQD2WO9MMNRNLT2OYCZIMGAWEI3S,3NPFYT4IZHKOYEK6MRBY96UU6CAXGO,A2WQOPD3IYLITQ," Nature"," biggest waterfall",2,0,a
3G5RUKN2FGJ1KQL0GDCEV3LJWNIN9U,3RUIQRXJBG49KCHIJZ5QB44FVKLLLV,A1YSYI926BBOHW," History"," What started world war 2",1,0,a
3G5RUKN2FGJ1KQL0GDCEV3LJWNIN9U,3R08VXYT7HBQGL4FJJBI1A3UY7LW7R,A23KAJRDVCVGOE," Education"," What are the most important things to teach children in school",2,0,a
3G5RUKN2FGJ1KQL0GDCEV3LJWNIN9U,33CID571099S48RTDT1QFIAYVYW3L1,A1SX8IVV82M0LW," Economy &amp; Finance"," nikkei 300 index year to date",0,0,a
