HITid,AssignmentId,WorkerId,Time,Minutes,Input Time (s),Query Time (s),Query,Description,Category,doc1id,doc1selected,doc2id,doc2selected,doc3id,doc3selected,doc4id,doc4selected,doc5id,doc5selected,doc6id,doc6selected,doc7id,doc7selected,doc8id,doc8selected,doc9id,doc9selected,doc10id,doc10selected,doc11id,doc11selected,doc12id,doc12selected,doc13id,doc13selected,Num Relevant Selected,Num NR Selected
3YCT0L9ONQPJP5HZPJC5CYQ85GSSNK,3G5W44VEUCYIEELZN8W9JCMP3SDGK1,AHQ1CS51G68VT,340.0,5.666666666666667,185.28,0.0," Who won the 2020 best male actor academy award"," It's intended to find out the name of the actor and his biography. It is also intended to find out which movie got the actor to be nominated in the category of the best male actor in 2020 for the academy award"," Entertainment"," clueweb09-enwp01-27-01053",true," clueweb09-en0008-15-24348",false," clueweb09-en0008-79-32840",true," clueweb09-en0002-43-30849",true," nr-clueweb09-en0009-80-17476",true," clueweb09-enwp01-29-02525",false," clueweb09-en0008-15-32308",false," clueweb09-en0003-24-19872",false," clueweb09-en0002-56-32820",false," clueweb09-en0007-76-04346",true," random-clueweb09-enwp02-01-03342",false," clueweb09-en0006-14-07937",true," nr-clueweb09-enwp01-16-02996",true,5,2
3YCT0L9ONQPJP5HZPJC5CYQ85GSSNK,3ZV9H2YQQIN8F23SH78SOTRBMWE3WD,A19Z68L0RHQVWL,125.0,2.0833333333333335,73.83,0.0," How to make a budget"," How to make a budget that you can stick with.  How to allocate money in a budget.  Budgets made easy.  What all needs included in a budget."," Economy &amp; Finance"," clueweb09-en0008-68-32531",true," clueweb09-en0000-37-22939",true," clueweb09-en0006-52-13694",true," clueweb09-en0000-75-34216",false," clueweb09-en0009-77-15543",true," clueweb09-en0008-28-25284",true," clueweb09-en0007-57-21167",true," random-clueweb09-en0008-25-06683",false," clueweb09-en0006-94-21781",false," nr-clueweb09-en0005-64-23845",false," clueweb09-en0008-33-34132",false," clueweb09-en0006-94-21763",true," nr-clueweb09-en0005-64-23841",false,7,0
3YCT0L9ONQPJP5HZPJC5CYQ85GSSNK,30MVJZJNHRT8OKS9RHQNQG0PKUB9J5,A2IFHU3P1MF54K,677.0,11.283333333333333,565.875,0.0," What foods should I eat to follow a healthy balanced diet"," It intend to find the best food to eat in other to have a healthy balanced diet. Getting a good and detailed direction and instruction will make  a document relevant or useful."," Food &amp; Drink"," clueweb09-en0002-30-04646",false," clueweb09-en0001-20-11481",false," random-clueweb09-en0007-09-17000",false," clueweb09-en0008-19-29706",false," clueweb09-en0003-03-33598",true," clueweb09-en0002-33-22262",true," clueweb09-en0005-73-02939",false," clueweb09-en0011-78-07156",false," clueweb09-en0011-96-32182",false," nr-clueweb09-en0006-62-20689",true," clueweb09-en0005-99-40157",true," clueweb09-en0002-33-22489",false," nr-clueweb09-en0008-57-37882",false,3,1
3UUIU9GZD9LGEGO8AJL9SMM8GE75TX,3U84XHCDIHTXRTR1S8XIX2DZHWKZ4M,A9WIOFVRSYW3L,194.0,3.2333333333333334,64.318,0.0," Classical music concerts in Wisconsin"," I would like to find information about classical music concerts in my state (Wisconsin) - calendars, schedules, programs, venues..."," Arts"," clueweb09-enwp03-28-21910",false," clueweb09-en0006-57-25729",false," clueweb09-en0005-61-15025",true," clueweb09-en0005-61-18167",false," clueweb09-enwp03-35-21185",true," nr-clueweb09-en0006-25-19741",true," clueweb09-en0000-22-29598",false," clueweb09-en0009-11-29975",false," clueweb09-en0007-11-30637",true," clueweb09-en0004-74-18643",true," random-clueweb09-en0002-63-12795",false," clueweb09-en0004-48-02796",false," nr-clueweb09-enwp01-04-19656",false,4,1
3UUIU9GZD9LGEGO8AJL9SMM8GE75TX,39ASUFLU62NQE0OFGWLA939FMLXXEA,AHQ1CS51G68VT,435.0,7.25,172.273,0.0," Who was the first man to land on the moon"," The query intends to find out the history of the voyage to the moon and the achievements of the man who stepped on the moon"," Travel"," clueweb09-en0010-13-35783",true," clueweb09-enwp02-28-02853",false," clueweb09-enwp01-46-03869",false," clueweb09-en0010-79-31126",false," clueweb09-en0000-21-09236",true," clueweb09-en0009-39-00868",false," random-clueweb09-en0005-94-21396",false," clueweb09-en0010-86-02691",false," clueweb09-en0001-77-27664",false," clueweb09-en0008-94-30027",false," nr-clueweb09-en0003-43-12331",false," clueweb09-en0002-31-14276",true," nr-clueweb09-en0006-79-15268",false,3,0
3UUIU9GZD9LGEGO8AJL9SMM8GE75TX,3SUWZRL0M3TDVL4JF9CK9QWVPJF6EA,A19Z68L0RHQVWL,105.0,1.75,71.189,0.0," Building a Volcano with your child"," How to build a volano.  How a child can build a volcano.  Sets to building a working vocano.  Ingredients for the eruption."," Science"," clueweb09-en0009-07-28755",true," random-clueweb09-en0008-13-05976",false," clueweb09-en0002-24-02552",false," clueweb09-en0010-35-07092",false," clueweb09-enwp01-22-06652",false," clueweb09-en0006-38-04384",false," clueweb09-en0002-84-20910",false," clueweb09-en0010-92-02818",false," nr-clueweb09-en0002-83-28936",false," clueweb09-en0004-42-25033",false," clueweb09-en0009-92-05599",false," clueweb09-en0003-89-17758",true," nr-clueweb09-en0004-70-07276",false,2,0
3J5XXLQDIQRSDT5T1VXVE7C9Z3VV3C,3NPFYT4IZHKOYEK6MRBY96URZ1UXG9,A9WIOFVRSYW3L,187.0,3.1166666666666667,119.969,0.0," how to lose 10 pounds healthy diet"," I would like to read about some tips and tricks how to manage a weight loss without a lot of frustration. I would like to find article about what and when to eat. Charts would be very helpful (calorie intake, exercise times...)"," Health &amp; Wellness"," random-clueweb09-en0009-77-38942",false," clueweb09-en0007-74-12649",true," nr-clueweb09-en0002-61-09807",false," clueweb09-en0003-03-33400",true," clueweb09-en0003-27-03437",true," clueweb09-en0003-27-03451",true," clueweb09-en0003-03-33826",true," clueweb09-en0001-28-14747",true," clueweb09-en0005-46-26375",true," clueweb09-en0011-46-16763",true," clueweb09-en0001-12-12742",true," clueweb09-en0011-46-16577",true," nr-clueweb09-en0007-74-12651",true,10,1
3J5XXLQDIQRSDT5T1VXVE7C9Z3VV3C,352YTHGRO0TB08R7MMRBXV9UL7TH46,AHQ1CS51G68VT,241.0,4.016666666666667,77.042,0.0," When was the first computer designed"," The query intends to find out the history of computers"," Technology"," random-clueweb09-en0002-86-03239",false," clueweb09-en0009-56-24657",false," clueweb09-en0000-05-29843",false," clueweb09-enwp00-47-14044",true," clueweb09-en0001-16-29940",false," clueweb09-en0005-89-24337",true," clueweb09-en0006-35-25355",false," nr-clueweb09-en0005-73-13246",false," clueweb09-enwp01-82-13020",true," clueweb09-en0006-13-02776",false," clueweb09-en0006-13-10238",true," clueweb09-en0004-80-25780",false," nr-clueweb09-en0001-17-19905",false,4,0
3J5XXLQDIQRSDT5T1VXVE7C9Z3VV3C,3GM6G9ZBKSDH9778SK8WX8TIITGMTP,A19Z68L0RHQVWL,92.0,1.5333333333333334,51.433,0.0," Signs of a healthy marriage"," What does  healthy marriage  look like.  Signs your marriage will last."," Relationships"," clueweb09-en0008-22-15334",false," clueweb09-en0006-28-32800",true," clueweb09-en0006-02-19643",false," clueweb09-en0006-43-34006",false," clueweb09-en0005-01-26067",false," nr-clueweb09-en0009-21-20197",false," clueweb09-en0006-52-18857",false," random-clueweb09-en0008-13-05976",false," clueweb09-en0008-22-15316",false," clueweb09-en0008-90-21650",false," clueweb09-en0004-54-22078",false," clueweb09-en0003-73-04520",true," nr-clueweb09-en0009-21-20196",false,2,0
3BFNCI9LZO6Q234XJXUF8TW6DLP37T,3ZSY5X72N2RSTVFS1BIEPXH5P7QROM,AHQ1CS51G68VT,140.0,2.3333333333333335,82.915,0.0," What are the benefits of online shopping"," The query intents to find out the pros and advantages of shopping online"," Shopping"," random-clueweb09-en0004-13-04016",false," clueweb09-en0005-33-33185",true," clueweb09-en0005-33-32238",false," clueweb09-en0007-21-07168",false," nr-clueweb09-en0011-26-22793",false," clueweb09-en0002-23-02259",true," clueweb09-en0006-51-07507",false," clueweb09-en0002-80-22702",true," clueweb09-en0002-46-27033",true," clueweb09-en0007-21-07172",true," clueweb09-en0003-54-05599",true," clueweb09-en0004-05-35728",false," nr-clueweb09-en0011-82-06009",true,6,1
