HITid,AssignmentId,WorkerId,Time of Day,Day of Week,Start Time,End Time,Time,Minutes,Input Time (s),Query Time (s),Query,Description,Category,doc1id,doc1selected,doc2id,doc2selected,doc3id,doc3selected,doc4id,doc4selected,doc5id,doc5selected,doc6id,doc6selected,doc7id,doc7selected,doc8id,doc8selected,doc9id,doc9selected,doc10id,doc10selected,doc11id,doc11selected,doc12id,doc12selected,doc13id,doc13selected,Num Relevant Selected,Num NR Selected
3TL87MO8DQ5KX09S7MWRS734F3QFLY,3P529IW9K31NKK7MXO2SGRZSA39LF0,A14GKRTUEHBLBZ,2021-10-31T15:13:03,SUNDAY,1635707583000,1635707714000,131.0,2.183333333333333,11.19,0.0," what is the best music player"," "," Technology"," clueweb09-en0005-45-19316",true," clueweb09-en0007-13-02042",false," clueweb09-en0000-77-05358",true," clueweb09-en0005-04-18773",true," clueweb09-en0008-66-34137",false," clueweb09-en0009-98-04923",true," random-clueweb09-en0006-35-27399",false," nr-clueweb09-en0006-60-04597",false," clueweb09-en0001-86-29174",false," clueweb09-en0010-75-02388",false," clueweb09-en0004-95-18801",false," clueweb09-en0004-94-08201",false," nr-clueweb09-en0000-51-06048",false,4,0
3TL87MO8DQ5KX09S7MWRS734F3QFLY,3HQUKB7LNKU5CKF21TBURKIY91DHHN,A226S9LUL53Q01,2021-10-31T15:16:17,SUNDAY,1635707777000,1635707949000,172.0,2.8666666666666667,20.991,0.0," New iphone"," "," Technology"," clueweb09-en0005-54-03459",true," clueweb09-en0008-65-21304",true," clueweb09-en0009-01-09309",false," ",true," clueweb09-en0010-82-15081",true," clueweb09-en0002-06-28784",true," clueweb09-en0002-95-06706",false," clueweb09-en0005-46-37236",true," clueweb09-en0008-12-09257",false," random-clueweb09-en0009-77-38942",false," clueweb09-en0008-58-22966",false," clueweb09-en0006-03-00457",false," ",false,6,0
3TL87MO8DQ5KX09S7MWRS734F3QFLY,3DZQRBDBSQVF8LMJX2YRR4OQZ7CS3C,A2NAKIXS3DVGAA,2021-10-31T15:19:36,SUNDAY,1635707976000,1635708014000,38.0,0.6333333333333333,9.977,0.0," What is the meaning of the word science?"," "," Science"," clueweb09-en0002-41-08153",false," clueweb09-en0003-09-13676",false," clueweb09-en0011-94-07494",false," clueweb09-en0002-31-08005",false," nr-clueweb09-en0004-45-01877",false," clueweb09-en0011-08-19657",false," clueweb09-en0000-08-20588",false," clueweb09-en0008-70-19856",false," clueweb09-en0004-28-30514",false," random-clueweb09-en0008-13-05976",false," clueweb09-en0009-84-14991",false," clueweb09-en0006-75-12788",false," nr-clueweb09-en0001-84-30735",false,0,0
3TL87MO8DQ5KX09S7MWRS734F3QFLY,3NGMS9VZTQY1KSXQBDZULEU8D7NFFP,A1YSYI926BBOHW,2021-10-31T15:18:34,SUNDAY,1635707914000,1635708197000,283.0,4.716666666666667,266.164,0.0," largest retailers in america"," "," Shopping"," clueweb09-en0010-35-18479",false," clueweb09-en0004-96-12485",false," clueweb09-en0008-03-00967",false," clueweb09-en0006-24-34082",false," clueweb09-en0005-90-20722",false," nr-clueweb09-en0004-69-11046",false," clueweb09-en0005-58-29121",false," clueweb09-enwp00-31-10470",false," clueweb09-en0003-37-23045",false," random-clueweb09-en0004-13-04016",false," clueweb09-en0003-37-23046",false," clueweb09-en0011-05-39772",false," nr-clueweb09-en0009-85-04736",false,0,0
3TL87MO8DQ5KX09S7MWRS734F3QFLY,3M0NZ3JDP6EFNCV16DGS2UJD0I45ZL,A2WQOPD3IYLITQ,2021-10-31T15:25:14,SUNDAY,1635708314000,1635708355000,41.0,0.6833333333333333,12.308,0.0," best basketball player"," "," Sports"," clueweb09-en0006-09-30107",false," nr-clueweb09-en0001-83-23762",false," clueweb09-enwp01-55-05306",true," clueweb09-en0000-03-14714",false," clueweb09-en0008-46-32754",false," random-clueweb09-en0008-13-05976",false," clueweb09-enwp00-35-09833",true," clueweb09-en0006-78-23755",false," clueweb09-en0007-47-03888",false," clueweb09-en0009-05-08068",false," clueweb09-en0005-46-20351",false," clueweb09-en0001-15-22001",false," nr-clueweb09-en0000-51-06048",false,2,0
3TL87MO8DQ5KX09S7MWRS734F3QFLY,3U088ZLJVP9CYA4VYKQ9MVT428OW00,A1CY282K1GZJBM,2021-10-31T15:23:36,SUNDAY,1635708216000,1635708366000,150.0,2.5,110.211,0.0," Which nations fought the world war 2?"," "," History"," clueweb09-enwp02-09-00791",true," clueweb09-en0009-26-13976",true," clueweb09-en0009-26-18259",false," clueweb09-en0004-78-22468",false," clueweb09-en0004-24-30570",false," clueweb09-en0004-24-34863",false," random-clueweb09-en0007-09-17000",false," clueweb09-en0010-82-01389",false," nr-clueweb09-en0000-93-38683",false," clueweb09-en0004-44-08959",false," clueweb09-en0002-60-30444",true," clueweb09-en0003-05-02200",false," nr-clueweb09-en0001-58-29507",false,3,0
3TL87MO8DQ5KX09S7MWRS734F3QFLY,3TK8OJTYM612728APV03FUBY37ZPVR,A31PW970Z2PC5P,2021-10-31T15:37:14,SUNDAY,1635709034000,1635709114000,80.0,1.3333333333333333,10.013,0.0," Entertainment"," "," Entertainment"," clueweb09-en0002-82-13714",true," ",false," clueweb09-en0009-88-06058",true," clueweb09-en0007-46-09597",true," clueweb09-en0001-78-10791",true," random-clueweb09-en0009-77-38942",false," clueweb09-en0002-39-26081",false," clueweb09-en0007-39-23259",false," clueweb09-en0001-11-03747",false," clueweb09-en0007-39-24480",false," clueweb09-en0003-07-27453",false," clueweb09-en0002-91-14461",false," ",false,4,0
3TL87MO8DQ5KX09S7MWRS734F3QFLY,3MAOD8E57VQU861S9VOTZQ3OJ36NXW,A49A0FF6ZXYDU,2021-10-31T15:40:09,SUNDAY,1635709209000,1635709285000,76.0,1.2666666666666666,21.888,0.0," what dog breeds are prone to epilepsy?"," "," Pets"," clueweb09-en0010-24-25939",false," random-clueweb09-en0011-47-15958",false," clueweb09-en0006-53-13236",true," clueweb09-en0010-45-18144",false," clueweb09-en0000-12-09217",false," clueweb09-en0011-36-04679",false," clueweb09-en0011-36-04392",false," nr-clueweb09-en0009-03-16765",false," clueweb09-en0006-20-05585",false," clueweb09-en0002-46-30335",false," clueweb09-en0006-48-32154",true," clueweb09-en0005-85-18623",true," nr-clueweb09-en0005-12-11251",false,3,0
3TL87MO8DQ5KX09S7MWRS734F3QFLY,3DI28L7YXFUIOZ3M9303EU5E0WQE16,APRZ7BR8C0ZMQ,2021-10-31T15:29:00,SUNDAY,1635708540000,1635709500000,960.0,16.0,18.382,0.0," Glacier park camping spot"," "," Recreation"," clueweb09-en0007-98-16324",true," clueweb09-en0007-98-16323",true," nr-clueweb09-en0000-28-05460",false," clueweb09-en0007-10-33485",true," clueweb09-en0007-45-19089",false," random-clueweb09-en0006-75-34429",false," clueweb09-en0007-10-33477",true," clueweb09-en0009-77-04527",false," clueweb09-en0009-20-07595",false," clueweb09-en0005-92-08296",false," clueweb09-en0009-08-21598",false," clueweb09-en0005-58-01990",false," nr-clueweb09-en0011-64-09351",false,4,0
3TL87MO8DQ5KX09S7MWRS734F3QFLY,3M81GAB8A5Z8Y0BJKROSEN715B6BQZ,A2615YW1YERQBO,2021-10-31T15:48:15,SUNDAY,1635709695000,1635709737000,42.0,0.7,18.824,0.0," Pizza ovens"," "," Food &amp; Drink"," clueweb09-en0007-16-13861",false," clueweb09-en0010-40-08811",true," clueweb09-en0007-06-38235",false," clueweb09-en0001-42-19456",false," nr-clueweb09-en0000-54-00604",false," clueweb09-en0010-51-08477",false," clueweb09-en0006-98-29819",false," clueweb09-en0010-40-08800",true," clueweb09-en0007-63-25830",false," clueweb09-en0007-43-37226",false," clueweb09-en0007-43-37233",true," random-clueweb09-en0008-31-37861",false," nr-clueweb09-en0008-37-07727",false,3,0
