HITid,AssignmentId,WorkerId,Time of Day,Day of Week,Start Time,End Time,Time,Minutes,Input Time (s),Query Time (s),Query,Description,Category,doc1id,doc1selected,doc2id,doc2selected,doc3id,doc3selected,doc4id,doc4selected,doc5id,doc5selected,doc6id,doc6selected,doc7id,doc7selected,doc8id,doc8selected,doc9id,doc9selected,doc10id,doc10selected,doc11id,doc11selected,doc12id,doc12selected,doc13id,doc13selected,Num Relevant Selected,Num NR Selected
3CZH926SJGUWTE2B6JD4O8GTGIKE4T,3XC1O3LBOX2X3PPNS87HXVETWT3LTN,ABO9F0JD9NN54,2021-09-30T12:41:03,THURSDAY,1633020063000,1633020253000,190.0,3.1666666666666665,72.927,0.0," Florida International University"," "," Education"," clueweb09-en0011-75-38032",false," clueweb09-en0007-20-10293",true," nr-clueweb09-en0004-57-16132",false," clueweb09-en0005-33-13441",false," clueweb09-en0005-13-27953",false," random-clueweb09-en0000-21-15033",false," clueweb09-en0000-88-16779",false," clueweb09-enwp00-74-16742",true," clueweb09-en0003-16-29195",false," clueweb09-en0001-67-15002",true," clueweb09-enwp00-62-17475",true," clueweb09-en0011-09-26338",false," nr-clueweb09-en0004-57-16130",false,4,0
3CZH926SJGUWTE2B6JD4O8GTGIKE4T,3QJOXOW4XO7FKOPB2PJ1YMTHTO6ME0,A1VMPZVVVZUCS4,2021-09-30T12:41:40,THURSDAY,1633020100000,1633020254000,154.0,2.566666666666667,13.626,0.0," best poutine restaurant"," "," Food &amp; Drink"," clueweb09-en0006-19-29339",false," clueweb09-enwp00-57-08022",false," clueweb09-en0007-17-27627",false," random-clueweb09-en0009-06-35915",false," clueweb09-en0005-00-05143",false," nr-clueweb09-en0008-44-33561",false," clueweb09-en0002-53-19622",true," clueweb09-enwp00-73-00141",false," clueweb09-en0007-50-17938",false," clueweb09-en0007-81-36885",false," clueweb09-en0005-91-06694",false," clueweb09-en0002-70-18745",false," nr-clueweb09-en0008-61-13630",false,1,0
3CZH926SJGUWTE2B6JD4O8GTGIKE4T,3LKC68YZ3FJX1RWE05SKCWPMVSPWO4,A1SX8IVV82M0LW,2021-09-30T12:40:20,THURSDAY,1633020020000,1633020270000,250.0,4.166666666666667,238.794,0.0," gamestop analyst rating"," "," Economy &amp; Finance"," clueweb09-en0005-13-31380",true," nr-clueweb09-en0010-07-06762",false," clueweb09-en0001-85-15092",false," clueweb09-en0006-26-20355",false," clueweb09-en0002-17-04340",false," clueweb09-en0008-29-36105",true," clueweb09-en0005-42-29200",false," clueweb09-en0006-02-40260",false," clueweb09-en0001-77-21346",false," random-clueweb09-en0006-26-18498",false," clueweb09-en0001-85-15095",false," clueweb09-en0010-50-26175",false," nr-clueweb09-en0009-87-34192",false,2,0
3CZH926SJGUWTE2B6JD4O8GTGIKE4T,3E337GFOLEOJMK62KLOPB43TBUVGNB,A1FNNL4YJGBU8U,2021-09-30T12:40:14,THURSDAY,1633020014000,1633020359000,345.0,5.75,327.949,0.0," Buy iPhone"," "," Shopping"," random-clueweb09-en0003-07-27095",false," clueweb09-en0005-91-22105",true," clueweb09-en0009-35-06680",false," clueweb09-en0008-64-32826",false," clueweb09-en0000-32-09273",false," clueweb09-en0011-21-26470",false," clueweb09-en0005-05-29624",false," nr-clueweb09-en0004-77-14584",false," clueweb09-en0011-63-17368",false," clueweb09-en0011-76-12695",false," clueweb09-en0007-15-24346",true," clueweb09-en0005-97-31288",false," nr-clueweb09-en0011-27-33964",false,2,0
3CZH926SJGUWTE2B6JD4O8GTGIKE4T,37Q970SNZJOJYI84AYK83B9TW4K1S8,A1E77HZO63E334,2021-09-30T12:40:29,THURSDAY,1633020029000,1633020368000,339.0,5.65,8.307,0.0," rafting in minnesota"," "," Recreation"," clueweb09-en0003-31-23777",false," clueweb09-en0003-94-00917",false," clueweb09-en0003-31-23743",false," clueweb09-en0009-77-01537",false," clueweb09-en0011-45-12937",false," nr-clueweb09-en0004-42-16580",false," clueweb09-en0007-26-14030",false," clueweb09-en0007-56-31707",true," random-clueweb09-en0007-00-09110",false," clueweb09-en0009-77-01163",false," clueweb09-en0001-38-12120",false," clueweb09-en0004-29-17052",false," nr-clueweb09-en0010-87-20710",false,1,0
3CZH926SJGUWTE2B6JD4O8GTGIKE4T,36H9ULYP67AHPUJMU3QF0CM01VQJFB,A3U21PUMQ6NGT2,2021-09-30T12:40:52,THURSDAY,1633020052000,1633020370000,318.0,5.3,30.258,0.0," Is caffeine bad for your heart?"," "," Health &amp; Wellness"," clueweb09-en0011-73-17814",true," random-clueweb09-en0007-29-30662",false," clueweb09-en0002-20-01549",true," nr-clueweb09-en0010-70-28012",false," clueweb09-en0011-97-15721",false," clueweb09-en0000-09-09445",false," clueweb09-en0009-25-22814",true," clueweb09-en0010-61-02171",true," clueweb09-en0006-40-07801",false," clueweb09-en0011-59-23710",false," clueweb09-en0011-28-23699",false," clueweb09-en0008-61-34494",false," nr-clueweb09-en0005-79-08967",false,4,0
3CZH926SJGUWTE2B6JD4O8GTGIKE4T,3VELCLL3GPZAUD3I4EK9WCQE7EQF13,A2T11H7YI7QPGD,2021-09-30T12:41:28,THURSDAY,1633020088000,1633020407000,319.0,5.316666666666666,10.995,0.0," when did world war 2 end?"," "," History"," clueweb09-en0004-83-00360",true," clueweb09-en0004-83-00945",true," clueweb09-en0007-86-27347",false," random-clueweb09-en0009-06-35915",false," clueweb09-en0007-34-12318",false," clueweb09-en0007-80-13638",false," clueweb09-en0001-20-10029",false," clueweb09-en0006-61-29796",false," nr-clueweb09-en0007-30-10984",false," clueweb09-en0006-87-13025",false," clueweb09-en0008-99-28939",false," clueweb09-en0005-11-17999",false," nr-clueweb09-enwp03-34-12542",false,2,0
3CZH926SJGUWTE2B6JD4O8GTGIKE4T,3I33IC7ZWKIMN746C2YVNUPS24R2AU,AFU00NU09CFXE,2021-09-30T12:41:00,THURSDAY,1633020060000,1633020418000,358.0,5.966666666666667,41.09,0.0," best aquarium pumps"," "," Pets"," clueweb09-en0009-08-04814",true," clueweb09-en0010-79-34719",true," clueweb09-en0011-47-13943",true," clueweb09-en0007-47-15696",true," clueweb09-en0009-77-25929",false," random-clueweb09-en0000-87-03924",false," clueweb09-en0011-43-24271",true," clueweb09-en0010-79-34683",true," clueweb09-en0000-06-06146",true," nr-clueweb09-en0010-79-34720",true," clueweb09-en0000-06-06122",true," clueweb09-en0005-58-19578",false," nr-clueweb09-en0008-91-43767",false,8,1
3CZH926SJGUWTE2B6JD4O8GTGIKE4T,3E7TUJ2EGH2VLYSHHL4CNI5CTDY9DV,A2JP9IKRHNLRPI,2021-09-30T12:40:48,THURSDAY,1633020048000,1633020474000,426.0,7.1,410.008,0.0," Nature trails near Lake Michigan"," "," Nature"," clueweb09-en0000-36-09593",false," random-clueweb09-en0002-86-03239",false," clueweb09-en0008-31-03017",true," clueweb09-en0009-19-30529",false," clueweb09-en0000-36-09600",false," clueweb09-en0010-49-01458",false," clueweb09-en0010-55-10545",false," nr-clueweb09-en0002-65-17735",false," clueweb09-en0010-38-09700",false," clueweb09-en0010-45-23375",false," clueweb09-en0001-96-24936",false," clueweb09-en0007-63-31903",false," nr-clueweb09-en0006-22-07979",false,1,0
3CZH926SJGUWTE2B6JD4O8GTGIKE4T,3OS4RQUCREVB7BLA6BDY2O3NTQHBFI,AWVLT2L5AP873,2021-09-30T12:41:05,THURSDAY,1633020065000,1633020520000,455.0,7.583333333333333,353.247,0.0," how did obama win the election"," "," Politics"," clueweb09-en0003-86-29817",true," random-clueweb09-en0004-13-04016",false," clueweb09-en0011-02-12952",true," clueweb09-en0005-24-12770",false," clueweb09-en0000-73-23605",false," clueweb09-en0002-15-27670",true," clueweb09-en0007-89-08448",false," clueweb09-en0002-78-23463",false," nr-clueweb09-en0000-58-29710",false," clueweb09-en0002-92-24046",true," clueweb09-en0010-58-31783",true," clueweb09-en0011-12-04368",false," nr-clueweb09-en0010-13-32815",false,5,0
