HITid,AssignmentId,WorkerId,Time of Day,Day of Week,Start Time,End Time,Time,Minutes,Input Time (s),Query Time (s),Query,Category,FilteredDocs,doc1id,doc1selected,doc1score,doc2id,doc2selected,doc2score,doc3id,doc3selected,doc3score,doc4id,doc4selected,doc4score,doc5id,doc5selected,doc5score,doc6id,doc6selected,doc6score,doc7id,doc7selected,doc7score,doc8id,doc8selected,doc8score,doc9id,doc9selected,doc9score,doc10id,doc10selected,doc10score,doc11id,doc11selected,doc11score,doc12id,doc12selected,doc12score,doc13id,doc13selected,doc13score,Num Relevant Selected,Num NR Selected
39I4RL8QHNX8DOTDWKLA9BD7OH84HF,35GCEFQ6IA4C9X8XSUSZNXLW9X3Z3U,A2VO8C41JJIQY9,2023-03-28T17:49:00,TUESDAY,1680040140000,1680040205000,65.0,1.0833333333333333,29.957,0.0," Who can introduce new bills"," Politics"," "," clueweb22-en0041-36-16156",false,-3.06640625 - 9.762929," clueweb22-en0039-45-13780",true,-3.248046875 - 9.716538," clueweb22-en0009-34-10749",true,-2.96875 - 9.905544," clueweb22-en0039-20-09422",true,-2.96875 - 9.614604," nr-clueweb22-en0040-32-06062",false,-1 - -1," clueweb22-en0026-90-07900",true,-2.96875 - 9.930829," random-clueweb09-en0002-82-08074",false,-2 - -2," clueweb22-en0002-42-00725",true,-2.96875 - 10.090182," clueweb22-en0008-63-02097",true,-2.96875 - 10.189807," clueweb22-en0007-92-20248",true,-2.96875 - 9.922995," clueweb22-en0045-17-05042",true,-2.96875 - 9.488976," clueweb22-en0019-37-05565",true,-2.962890625 - 9.979301," nr-clueweb22-en0008-43-02478",false,-1 - -1,9,0
39I4RL8QHNX8DOTDWKLA9BD7OH84HF,3Z9WI9EOZ44WEAGA7EER4CYTOT8KH0,A2CFI1X8OKYIL2,2023-03-28T17:48:10,TUESDAY,1680040090000,1680040325000,235.0,3.9166666666666665,53.306,0.0," Taylor Swift concert dates"," Entertainment"," "," random-clueweb09-en0000-87-03924",false,-2 - -2," clueweb22-en0022-18-05306",true,-1.705078125 - 15.314381," nr-clueweb22-en0015-46-05933",false,-1 - -1," clueweb22-en0043-12-05757",true,-1.705078125 - 15.547136," clueweb22-en0007-87-01203",false,-1.705078125 - 15.429481," nr-clueweb22-en0009-39-00001",false,-1 - -1," clueweb22-en0024-98-15446",false,-1.705078125 - 15.3491335," clueweb22-en0040-33-18841",true,-1.705078125 - 16.212582," clueweb22-en0040-31-03546",false,-1.9931640625 - 15.704629," clueweb22-en0043-31-16804",true,-1.90625 - 15.183396," clueweb22-en0026-79-08817",false,-0.9697265625 - 15.457497," clueweb22-en0019-56-03653",true,-1.705078125 - 15.410516," clueweb22-en0000-44-08687",true,-1.90625 - 16.302849,6,0
39I4RL8QHNX8DOTDWKLA9BD7OH84HF,32Z9ZLUT1Q0F411P566KBTF28YHHOG,A1E77HZO63E334,2023-03-28T17:45:21,TUESDAY,1680039921000,1680040443000,522.0,8.7,8.101,0.0," history of Russia"," History"," "," clueweb22-en0007-77-05242",true,-1.4130859375 - 6.483535," clueweb22-en0037-69-07936",false,-2.962890625 - 6.7290425," clueweb22-en0014-17-12197",true,-1.4130859375 - 6.473032," clueweb22-en0030-19-06891",false,-2.2890625 - 6.5973244," nr-clueweb22-en0016-72-13283",false,-1 - -1," clueweb22-en0023-77-12372",true,-1.9150390625 - 6.55954," clueweb22-en0022-70-03066",false,-2.962890625 - 6.500509," clueweb22-en0043-27-11131",false,-1.7119140625 - 6.552715," clueweb22-en0011-70-07926",false,-1.6181640625 - 6.4883246," random-clueweb09-en0000-21-15033",false,-2 - -2," clueweb22-en0015-93-14792",false,-2.2890625 - 6.5810814," clueweb22-en0043-00-16853",false,-1.6923828125 - 6.474687," nr-clueweb22-en0029-42-08240",false,-1 - -1,3,0
39I4RL8QHNX8DOTDWKLA9BD7OH84HF,3O6CYIULEIHSEWGBWR4TB2HE58JWU9,A2H1RXUC8XNNIW,2023-03-28T17:48:19,TUESDAY,1680040099000,1680040460000,361.0,6.016666666666667,51.25,0.0," What a 1 year old baby can eat"," Parenting"," "," clueweb22-en0033-50-08685",false,-1.822265625 - 11.34003," nr-clueweb22-en0008-12-10982",false,-1 - -1," clueweb22-en0012-97-07446",true,-1.685546875 - 11.233095," clueweb22-en0021-44-18028",false,-2.142578125 - 11.289655," clueweb22-en0037-09-06855",false,-2.15625 - 11.211358," clueweb22-en0044-57-08947",true,-2.15625 - 11.503415," clueweb22-en0028-29-17840",false,-1.822265625 - 11.221884," clueweb22-en0019-26-18556",false,-1.810546875 - 11.357948," clueweb22-en0031-37-12561",false,-1.822265625 - 11.282232," clueweb22-en0045-71-06321",true,-1.5888671875 - 11.560644," random-clueweb09-en0006-35-27399",false,-2 - -2," clueweb22-en0013-16-06536",true,-2.142578125 - 11.456629," nr-clueweb22-en0031-05-04747",false,-1 - -1,4,0
39I4RL8QHNX8DOTDWKLA9BD7OH84HF,378XPAWRUHTQYSI815JNAAWCJUUAI5,A21UA6O7ZFAIQJ,2023-03-28T17:53:18,TUESDAY,1680040398000,1680040513000,115.0,1.9166666666666667,14.335,0.0," What caused the 2008 financial collapse"," Economy &amp; Finance"," "," clueweb22-en0006-92-12150",true,-2.4765625 - 11.794805," nr-clueweb22-en0010-74-05417",false,-1 - -1," clueweb22-en0031-88-04817",true,-1.8720703125 - 11.768565," clueweb22-en0018-15-15285",true,-2.54296875 - 12.0537815," clueweb22-en0004-28-14373",false,-2.314453125 - 11.965181," random-clueweb09-en0007-00-09110",false,-2 - -2," clueweb22-en0004-46-00642",true,-2.306640625 - 11.758995," clueweb22-en0016-13-14485",true,-2.4765625 - 12.01485," clueweb22-en0006-86-08568",true,-1.8798828125 - 12.138673," clueweb22-en0036-05-05631",false,-1.8935546875 - 11.909047," clueweb22-en0004-73-00098",true,-2.4765625 - 11.942359," clueweb22-en0026-49-03580",true,-2.4765625 - 12.402207," nr-clueweb22-en0004-47-19586",false,-1 - -1,8,0
39I4RL8QHNX8DOTDWKLA9BD7OH84HF,3BQU611VFU0JI8F055ZA1MMPUMP996,A195MOXRMNHRVT,2023-03-28T17:55:53,TUESDAY,1680040553000,1680040603000,50.0,0.8333333333333334,16.472,0.0," pickle salsa recipe"," Food &amp; Drink"," "," clueweb22-en0004-29-03836",true,-2.57421875 - 15.050474," nr-clueweb22-en0026-55-07446",false,-1 - -1," clueweb22-en0033-84-02040",false,-2.57421875 - 14.547973," random-clueweb09-en0007-29-30662",false,-2 - -2," clueweb22-en0024-46-17178",true,-2.978515625 - 14.926296," clueweb22-en0024-71-14061",true,-2.57421875 - 15.475329," clueweb22-en0042-83-12015",false,-2.017578125 - 14.45768," clueweb22-en0044-96-10121",false,-1.7587890625 - 14.388384," clueweb22-en0045-95-06786",true,-2.4453125 - 14.52543," clueweb22-en0040-20-03439",false,-2.978515625 - 14.652823," nr-clueweb22-en0013-24-00688",false,-1 - -1," clueweb22-en0031-69-08271",false,-2.8203125 - 14.406739," clueweb22-en0012-63-08733",false,-2.396484375 - 14.581844,4,0
39I4RL8QHNX8DOTDWKLA9BD7OH84HF,3TXWC2NHN461NNBZEBZ1IHRFMAE9SH,A1YSYI926BBOHW,2023-03-28T17:50:46,TUESDAY,1680040246000,1680040872000,626.0,10.433333333333334,597.6,0.0," Signs to get your kid evaluated for autism"," Parenting"," "," clueweb22-en0016-10-01795",true,-1.87890625 - 13.710446," clueweb22-en0026-31-13321",true,-2.091796875 - 13.603705," clueweb22-en0004-25-15390",false,-2.091796875 - 13.06965," clueweb22-en0037-94-01619",false,-2.130859375 - 13.051122," nr-clueweb22-en0036-81-04226",false,-1 - -1," clueweb22-en0024-44-09057",false,-2.091796875 - 14.472526," clueweb22-en0001-17-10653",true,-1.9287109375 - 13.4969," random-clueweb09-en0002-63-12795",false,-2 - -2," nr-clueweb22-en0008-93-05549",false,-1 - -1," clueweb22-en0031-52-16594",true,-2.130859375 - 13.137483," clueweb22-en0022-32-05285",false,-2.97265625 - 13.282831," clueweb22-en0031-94-10462",false,-1.54296875 - 12.986418," clueweb22-en0020-49-00840",false,-2.091796875 - 13.989374,4,0
39I4RL8QHNX8DOTDWKLA9BD7OH84HF,36DSNE9QZAEBV7WFT695N6VHLQNJOP,A1O57XVTTB1PNZ,2023-03-28T17:59:36,TUESDAY,1680040776000,1680040976000,200.0,3.3333333333333335,96.986,0.0," Where can I find the best prices on a new Macbook Pro laptop"," Shopping"," "," clueweb22-en0021-83-16402",true,-1.958984375 - 19.089468," clueweb22-en0028-54-16036",false,-1.958984375 - 19.089468," clueweb22-en0028-05-14482",false,-1.7626953125 - 19.44523," nr-clueweb22-en0017-52-16000",false,-1 - -1," clueweb22-en0015-02-16274",false,-1.7978515625 - 18.788612," clueweb22-en0001-85-15398",true,-1.958984375 - 18.945095," nr-clueweb22-en0025-26-14057",false,-1 - -1," clueweb22-en0027-71-05002",true,-2.2890625 - 18.751091," clueweb22-en0007-05-01902",false,-1.9150390625 - 19.192259," random-clueweb09-en0006-26-18498",false,-2 - -2," clueweb22-en0028-21-08567",false,-1.958984375 - 18.847677," clueweb22-en0005-76-08524",true,-1.958984375 - 18.945095," clueweb22-en0024-68-10564",true,-1.2548828125 - 18.884129,5,0
39I4RL8QHNX8DOTDWKLA9BD7OH84HF,3LEP4MGT3LGE9R7EF5I8EO05977BDZ,A2LMQ4497NMK3S,2023-03-28T17:54:59,TUESDAY,1680040499000,1680041174000,675.0,11.25,59.833,0.0," What is the significance of the battle of Stalingrad"," History"," "," clueweb22-en0003-87-13764",true,-1.6484375 - 16.484756," nr-clueweb22-en0012-60-14625",false,-1 - -1," clueweb22-en0007-86-01690",true,-1.8017578125 - 15.607789," random-clueweb09-en0005-85-21121",false,-2 - -2," clueweb22-en0030-76-13525",true,-1.7919921875 - 16.589148," nr-clueweb22-en0044-40-06319",false,-1 - -1," clueweb22-en0037-62-16420",true,-1.6484375 - 15.435321," clueweb22-en0044-40-05001",true,-1.6484375 - 15.254485," clueweb22-en0040-94-10388",true,-2.1875 - 15.615457," clueweb22-en0040-99-13215",true,-1.6484375 - 15.664598," clueweb22-en0006-51-19260",false,-2.244140625 - 15.358136," clueweb22-en0011-68-00478",true,-1.7919921875 - 16.68981," clueweb22-en0012-28-09734",true,-1.6484375 - 15.529059,9,0
39I4RL8QHNX8DOTDWKLA9BD7OH84HF,35USIKEBNWWHPRHW88F3ZDQ79AY6NR,A1FNNL4YJGBU8U,2023-03-28T17:54:28,TUESDAY,1680040468000,1680041325000,857.0,14.283333333333333,7.117,0.0," How to potty train a 2 year old"," Parenting"," "," clueweb22-en0028-16-19563",false,-1.7158203125 - 14.397455," clueweb22-en0022-22-04157",false,-1.6845703125 - 14.49545," clueweb22-en0018-37-12155",false,-1.5498046875 - 14.363094," clueweb22-en0030-11-00809",false,-1.6845703125 - 14.393183," clueweb22-en0000-43-14307",true,-2.28125 - 14.63389," clueweb22-en0024-15-06095",false,-1.5498046875 - 14.471112," clueweb22-en0018-94-10007",false,-1.6845703125 - 14.386223," random-clueweb09-en0003-33-30335",false,-2 - -2," nr-clueweb22-en0006-02-02310",false,-1 - -1," clueweb22-en0043-96-05211",false,-2.0 - 14.739517," nr-clueweb22-en0017-53-04477",false,-1 - -1," clueweb22-en0009-77-09853",true,-2.28125 - 14.432022," clueweb22-en0022-14-02155",false,-1.6845703125 - 14.407221,2,0
