HITid,AssignmentId,WorkerId,Category,Query,Num Selected,Num NR Selected,Reject
3VMV5CHJ0CVEUDDSRF40WJDYPIAGTQ,3TPZPLC3M5SIVT6R5LUXWZJI0CG3PQ,A3TUJHF9LW3M8N," Sports"," Who won the superbowl",1,0,a
3VMV5CHJ0CVEUDDSRF40WJDYPIAGTQ,3OSWBBLG1JDLMUAFK1AQ3LRXTODXD5,ARI1EMAHUA9PO," Pets"," front clip dog harness",5,0,a
3VMV5CHJ0CVEUDDSRF40WJDYPIAGTQ,36W0OB37H1UR35FW7FH1RRM6TG5ZHE,A1LGGK1BGSZ1R7," Economy &amp; Finance"," Are cryptocurrencies a safe investment",8,0,a
3VMV5CHJ0CVEUDDSRF40WJDYPIAGTQ,3IXQG4FA2YE261UX3PD6SSHFJ0B9BS,A2CWJRAEFZ44HU," Pets"," local animal rescue",8,1,a
3VMV5CHJ0CVEUDDSRF40WJDYPIAGTQ,3PH3VY7DJQD90VAL2E31SUWT84HWZA,A2LMQ4497NMK3S," Food &amp; Drink"," What is a recipe for tapioca pudding",9,1,a
3VMV5CHJ0CVEUDDSRF40WJDYPIAGTQ,333U7HK6IEVKRA5Q3XVPCCJIIQ0DJZ,A3IN9YBTU78SBS," Parenting"," How to discipline kids under 10 years old",8,0,a
3VMV5CHJ0CVEUDDSRF40WJDYPIAGTQ,388U7OUMFCH7QEN9ZQG3ZWLQYIL0RL,A2H1RXUC8XNNIW," Entertainment"," Best animes of 2022",1,0,a
3VMV5CHJ0CVEUDDSRF40WJDYPIAGTQ,3VZLGYJEYQQOPVFBCJZNUDA0H6OXZ5,A173A97OFDAX9F," Shopping"," amazon black friday deals",7,0,a
3VMV5CHJ0CVEUDDSRF40WJDYPIAGTQ,32Z9ZLUT1Q0F411P566KBTF29C3OH2,A2MEQ412Q361P8," Sports"," which is the number one basketball in the world",1,0,a
3VMV5CHJ0CVEUDDSRF40WJDYPIAGTQ,3GNA64GUZJK69KUAJHXFB17CJ4V5QB,A8P514ZWZ5NGU," History"," Why is Alexander is called the great General",5,0,a
