HITid,AssignmentId,WorkerId,Time,Minutes,Query,Description,Category,doc1id,doc1selected,doc2id,doc2selected,doc3id,doc3selected,doc4id,doc4selected,doc5id,doc5selected,doc6id,doc6selected,doc7id,doc7selected,doc8id,doc8selected,doc9id,doc9selected,doc10id,doc10selected,doc11id,doc11selected,doc12id,doc12selected,Num Relevant Selected,Num NR Selected
378G7J1SKPE82GLVGPJNJ0ZKUYAEWA,3UJ1CZ6IZM5IM09NBLMK61M9ECV5SO,A3T5UAYFKJBVTA,83.0,1.3833333333333333," Classroom management"," The search query intended to find documents about classroom management. Hopefully, techniques and advice for effectiveness."," Education"," nr-clueweb09-en0010-18-34168",false," clueweb09-en0002-15-21348",false," clueweb09-en0002-15-21344",true," clueweb09-en0001-93-11535",false," clueweb09-en0000-15-08428",false," clueweb09-en0004-90-08223",false," clueweb09-en0001-85-21603",false," clueweb09-en0002-05-33891",false," clueweb09-en0004-99-26675",true," clueweb09-en0005-10-32827",false," clueweb09-en0004-86-14563",true," nr-clueweb09-en0004-39-26663",false,3,0
378G7J1SKPE82GLVGPJNJ0ZKUYAEWA,34V1S5K3GXHW0PD27YWYHCVJIJJ69W,A3UWHJTAUTF6TO,121.0,2.0166666666666666," best soccer players"," i intend to find information on the most valuable soccer players at the time. information on the teams played and country would be useful."," Sports"," clueweb09-en0010-49-33147",false," clueweb09-en0001-49-23166",false," clueweb09-en0006-60-39145",false," clueweb09-en0010-64-15577",false," clueweb09-en0010-33-28977",true," nr-clueweb09-en0010-64-15682",true," clueweb09-en0006-35-31408",false," clueweb09-en0000-12-19001",false," clueweb09-en0009-42-21827",false," clueweb09-en0007-33-25823",false," clueweb09-en0006-60-39214",false," nr-clueweb09-en0010-64-15675",false,1,1
378G7J1SKPE82GLVGPJNJ0ZKUYAEWA,3P4RDNWNDAM1ZLLCVBW039ZRNFQIJX,A3BMEVFSETVOUR,328.0,5.466666666666667," 2009 movies"," I want to see what movies came out this year. Some rankings of the best movie by reviewer or box office would be nice too."," Entertainment"," clueweb09-en0007-63-33746",true," clueweb09-en0003-28-13034",false," clueweb09-en0002-98-25626",true," clueweb09-en0003-28-13040",false," nr-clueweb09-en0003-65-25560",false," clueweb09-en0004-77-04664",false," clueweb09-en0011-44-26525",false," clueweb09-en0002-98-25628",true," clueweb09-en0002-80-00696",false," clueweb09-en0001-08-27396",false," clueweb09-en0004-77-04662",false," nr-clueweb09-en0003-65-25537",false,3,0
378G7J1SKPE82GLVGPJNJ0ZKUYAEWA,3HPZF4IVNR90H7UBP11H2TGKNEHCYL,A2PD9SHVWNX7Q2,147.0,2.45," Youngstown State University courses"," To find all the causes offered by Youngstown State university that one can pursue."," Education"," clueweb09-en0006-60-12746",true," clueweb09-en0001-01-12341",true," clueweb09-en0006-60-12738",false," clueweb09-en0001-01-12333",false," nr-clueweb09-en0000-66-28379",false," clueweb09-en0001-75-02907",false," clueweb09-enwp02-02-00315",false," clueweb09-enwp03-48-01025",false," clueweb09-en0002-50-20529",false," clueweb09-en0000-80-35051",false," clueweb09-en0008-80-40613",false," nr-clueweb09-en0001-86-32194",false,2,0
378G7J1SKPE82GLVGPJNJ0ZKUYAEWA,3IAEQB9FMJ06XU5PAWE412DMX6TDWN,A1L1S0IAPZB4MO,87.0,1.45," eating healthy"," having more energy"," Health &amp; Wellness"," clueweb09-en0006-52-15133",true," clueweb09-en0005-33-29948",false," clueweb09-en0003-68-32432",false," nr-clueweb09-en0010-43-02857",false," clueweb09-en0007-90-34327",false," clueweb09-en0002-77-13065",false," clueweb09-en0004-05-35422",false," clueweb09-en0005-33-32555",false," clueweb09-en0008-27-05345",false," clueweb09-en0002-43-18673",false," clueweb09-en0002-67-15904",false," nr-clueweb09-en0005-43-19521",false,1,0
378G7J1SKPE82GLVGPJNJ0ZKUYAEWA,3S96KQ6I9RKE5D1VFR9TEI6NTCBDTX,A1KI7C9UTUBCAT,94.0,1.5666666666666667," baseball teams"," professional baseball teams"," Recreation"," clueweb09-en0000-76-22774",false," nr-clueweb09-en0010-47-26015",false," clueweb09-en0001-44-34761",true," clueweb09-en0001-44-15543",true," clueweb09-en0010-29-45885",true," clueweb09-en0007-62-21096",false," clueweb09-en0004-18-05178",true," clueweb09-en0004-91-32170",false," clueweb09-en0008-84-20248",true," clueweb09-en0010-22-30341",true," clueweb09-enwp01-27-03026",true," nr-clueweb09-en0010-47-26014",false,7,0
378G7J1SKPE82GLVGPJNJ0ZKUYAEWA,3DEL4X4ELB1OK556GXX4G61UOW4XY7,A28HWJIJNRZ157,319.0,5.316666666666666," what is the best weight for a healthy person"," To find everything about health versus weight."," Health &amp; Wellness"," clueweb09-en0005-33-33852",true," clueweb09-en0003-60-24027",false," clueweb09-en0005-49-01694",true," nr-clueweb09-en0002-27-24949",true," clueweb09-en0006-52-19241",true," clueweb09-en0011-91-00458",true," clueweb09-en0003-03-33872",true," clueweb09-en0003-03-33239",true," clueweb09-en0000-45-00257",true," clueweb09-en0001-84-30040",true," clueweb09-en0002-40-16460",true," nr-clueweb09-en0000-41-14669",false,9,1
378G7J1SKPE82GLVGPJNJ0ZKUYAEWA,3XLBSAQ9Z9SUAG9KU6VP0EX8SXUZ76,A2BVS5FSVXG48A,406.0,6.766666666666667," What is the best airline to use when travelling from Africa to France?"," The query tends to give  a clue on the best rated airline to use when flying out of Africa to Europe ,France"," Travel"," clueweb09-en0005-51-21461",true," clueweb09-en0009-85-33022",true," nr-clueweb09-en0005-51-20791",false," clueweb09-en0010-10-28978",true," clueweb09-en0005-51-21488",true," clueweb09-en0000-97-03291",true," clueweb09-en0002-27-08836",true," clueweb09-en0007-15-38962",true," clueweb09-en0005-00-12542",true," clueweb09-en0003-03-28666",true," clueweb09-en0005-94-24888",true," nr-clueweb09-en0005-51-20559",true,10,1
378G7J1SKPE82GLVGPJNJ0ZKUYAEWA,3OF2M9AATL4I5VG4D0KY4J2UYHUKZX,A9OOV3976AFYF,759.0,12.65," most competitive boxing matches"," I want to find out about the closest and most competitive boxing matches which had audiences on-edge"," Sports"," clueweb09-en0005-37-17119",false," clueweb09-en0005-37-17144",false," nr-clueweb09-en0010-72-07865",true," clueweb09-en0006-49-20910",false," clueweb09-en0007-90-25724",false," clueweb09-en0003-71-25221",false," clueweb09-en0003-71-25213",false," clueweb09-en0011-72-16688",false," clueweb09-en0002-06-02229",false," clueweb09-en0002-32-26976",false," clueweb09-en0007-90-25720",false," nr-clueweb09-en0006-49-20906",false,0,1
378G7J1SKPE82GLVGPJNJ0ZKUYAEWA,3Z4AIRP3CBTRUZU348QV2JQKHC2X1I,A3UP4PP3ZF1J39,401.0,6.683333333333334," how can I know when God speak to me as human being"," From my perspective spirituality is something that in ecclesiastical law belongs to the church or to a cleric as such. And this term developed and expanded over time, and various connotations can be found alongside each other. Traditionally, spirituality referred to a religious process of re-formation which "aims to recover the original shape of man"," Spirituality"," clueweb09-en0008-74-23260",true," clueweb09-en0004-40-05826",true," nr-clueweb09-en0007-26-15104",false," clueweb09-en0004-23-28452",false," clueweb09-en0010-44-03720",true," clueweb09-en0005-49-20840",false," clueweb09-en0007-03-12199",false," clueweb09-en0007-41-08416",false," clueweb09-en0000-16-04269",false," clueweb09-en0011-88-26841",false," clueweb09-en0011-94-20330",false," nr-clueweb09-en0006-35-19085",false,3,0
