HITid,AssignmentId,WorkerId,Time,Query,Description,Category,doc1id,doc1selected,doc2id,doc2selected,doc3id,doc3selected,doc4id,doc4selected,doc5id,doc5selected,doc6id,doc6selected,doc7id,doc7selected,doc8id,doc8selected,doc9id,doc9selected,doc10id,doc10selected
3O0M2G5VDAIFYIBUY8XIWUFIIF949V,33C7UALJVQE1FYTVW0E3MK9RM2G812,A34OND2D195U9O,203000, recipes for slow cookers with pork, I was trying to find recipes that included slow cookers and pork as the main ingredient. A few photos and a detailed description of the recipe would be most useful. It would be great if that recipe also had a link for a how to video., Food &amp; Drink, clueweb09-en0002-83-30590,FALSE, clueweb09-en0000-67-12922,TRUE, clueweb09-en0000-67-06667,TRUE, clueweb09-en0009-74-13355,TRUE, clueweb09-en0009-03-37201,TRUE, clueweb09-en0009-74-13401,TRUE, clueweb09-en0000-23-19458,TRUE, clueweb09-en0002-83-30586,FALSE, clueweb09-en0011-12-25870,FALSE, clueweb09-en0006-19-11355,TRUE
3O0M2G5VDAIFYIBUY8XIWUFIIF949V,3DOCMVPBTSUPWCNO7P1K1OCPEYKNND,APF4DODEF8HBC,182000, What is the best site for toys?, The site which mainly focuses on toys, Shopping, clueweb09-en0009-36-35786,FALSE, clueweb09-en0009-36-35787,TRUE, clueweb09-en0002-80-08650,FALSE, clueweb09-en0002-80-08651,FALSE, clueweb09-en0000-10-38676,TRUE, clueweb09-en0008-32-32306,TRUE, clueweb09-en0011-55-10185,FALSE, clueweb09-en0000-26-18448,FALSE, clueweb09-en0009-52-00619,FALSE, clueweb09-en0007-57-23886,FALSE
3O0M2G5VDAIFYIBUY8XIWUFIIF949V,3Z4XG4ZF4D795ZEO3TZAHTDSRHVX8J,AQ5H9HKYEGCXA,772000, best clothes for kids, best cloths for kids in amazon, Parenting, clueweb09-en0006-49-24277,FALSE, clueweb09-en0006-49-24275,TRUE, clueweb09-en0005-01-10573,FALSE, clueweb09-en0006-85-23749,FALSE, clueweb09-en0006-74-28542,TRUE, clueweb09-en0000-52-20936,FALSE, clueweb09-en0005-27-21409,FALSE, clueweb09-en0004-97-20179,FALSE, clueweb09-en0009-35-25047,FALSE, clueweb09-en0002-97-30446,FALSE
3O0M2G5VDAIFYIBUY8XIWUFIIF949V,3YZ8UPK3VY2J0YA6F04SZ8A7NQ1CUE,A2264OXTIAMF51,245000, Joe biden bio," The query is about finding more information regarding the new President of the USA Joe Biden. I am looking to check his accomplishment and works as a politician as well as his personal life. If the document includes verified information from trusted sources, I find it more useful and relevant.", Politics, clueweb09-en0000-34-18136,FALSE, clueweb09-en0002-45-18171,FALSE, clueweb09-en0009-38-05919,FALSE, clueweb09-en0000-26-24412,FALSE, clueweb09-en0008-25-08187,FALSE, clueweb09-en0008-25-03152,TRUE, clueweb09-en0009-45-35041,FALSE, clueweb09-en0001-23-01650,TRUE, clueweb09-en0008-03-03605,TRUE, clueweb09-en0010-08-19587,FALSE
3O0M2G5VDAIFYIBUY8XIWUFIIF949V,374TNBHA8GB4B84UUJ2CMY51NTEQYW,A157YI4FMFR83C,109000, shoes, i would like to buy a casual shoes in online, Shopping, clueweb09-en0002-80-20155,FALSE, clueweb09-en0008-57-08691,FALSE, clueweb09-en0005-03-24348,TRUE, clueweb09-en0002-80-20153,FALSE, clueweb09-en0005-18-13496,FALSE, clueweb09-en0002-77-29272,FALSE, clueweb09-en0005-21-02586,FALSE, clueweb09-en0005-46-20361,FALSE, clueweb09-en0005-03-24346,FALSE, clueweb09-en0010-07-16354,FALSE
3O0M2G5VDAIFYIBUY8XIWUFIIF949V,39DD6S19JURFJVOUHE9V6OPPAKUEZZ,A2O9XAEHWM5KYO,331000, How to earn money on the internet, this research has several options on how to earn a lot of money on the internet, Economy &amp; Finance, clueweb09-en0011-18-18803,FALSE, clueweb09-en0011-18-18806,TRUE, clueweb09-en0007-35-18852,FALSE, clueweb09-en0007-35-18844,TRUE, clueweb09-en0000-58-00785,FALSE, clueweb09-en0003-07-27449,FALSE, clueweb09-en0002-23-00409,TRUE, clueweb09-en0001-68-17692,FALSE, clueweb09-en0005-99-04644,FALSE, clueweb09-en0007-58-00688,FALSE
3O0M2G5VDAIFYIBUY8XIWUFIIF949V,33C7UALJVQE1FYTVW0E3MK9RM2L180,A2S471GY7L1YUU,29000, healthy food, i want to know what are healthy foods, Health &amp; Wellness, clueweb09-en0006-52-14654,FALSE, clueweb09-en0008-27-05365,FALSE, clueweb09-en0002-43-18673,TRUE, clueweb09-en0011-65-37445,FALSE, clueweb09-en0011-54-33429,FALSE, clueweb09-en0007-40-28961,FALSE, clueweb09-en0000-63-01660,FALSE, clueweb09-en0008-00-39610,FALSE, clueweb09-en0005-27-35768,FALSE, clueweb09-en0009-01-36809,FALSE
3O0M2G5VDAIFYIBUY8XIWUFIIF949V,3NXNZ5RS1FDF4PR7Q81QNQVF9U297T,A1ZDR2UN7M92LI,402000, Plein air watercolor, I was hoping to find pics of outdoor watercolor paintings. I was looking for images of the plein air style., Arts, clueweb09-en0009-45-15118,FALSE, clueweb09-en0003-14-26690,TRUE, clueweb09-en0004-00-25210,TRUE, clueweb09-en0004-00-25247,FALSE, clueweb09-en0001-11-36761,TRUE, clueweb09-en0009-97-03771,TRUE, clueweb09-en0003-16-21957,FALSE, clueweb09-en0006-95-09665,FALSE, clueweb09-en0003-26-13586,FALSE, clueweb09-en0000-06-21882,TRUE
3O0M2G5VDAIFYIBUY8XIWUFIIF949V,37M28K1J0VTMT32EJN4NMBB868VAJT,A1NUW3AISE7RZC,80000, Clothes, Best style of clothing for women in her thirties, Style, clueweb09-en0004-90-07676,FALSE, clueweb09-en0002-49-12710,FALSE, clueweb09-en0000-28-18155,FALSE, clueweb09-en0002-40-28863,FALSE, clueweb09-en0011-75-24682,FALSE, clueweb09-en0011-75-24693,FALSE, clueweb09-en0002-11-07946,FALSE, clueweb09-en0005-89-05737,FALSE, clueweb09-en0002-49-12711,FALSE, clueweb09-en0000-97-00843,TRUE
38O9DZ0A763IDLU9WNBIJ5RI80526M,34T446B1C5U3KCYQHTQ8A1M071UC08,A2JJF5OFND2KL5,84000, how to fix issues, how to stop fighting so much, Relationships, clueweb09-en0007-14-19627,FALSE, clueweb09-en0002-24-12676,FALSE, clueweb09-en0009-01-16866,FALSE, clueweb09-en0010-19-18350,FALSE, clueweb09-en0003-69-10887,TRUE, clueweb09-en0010-19-18215,FALSE, clueweb09-en0001-16-31091,FALSE, clueweb09-en0009-06-26765,FALSE, clueweb09-en0011-69-01873,FALSE, clueweb09-en0009-82-21847,TRUE
38O9DZ0A763IDLU9WNBIJ5RI80526M,3VFJCI1K44F41IYUDS56KO82EJMGRL,AKNU5D6QK7M72,199000, squigglevision, i want to know how squigglevision works, Arts, clueweb09-enwp01-89-05077,FALSE, clueweb09-en0000-79-30252,TRUE, clueweb09-en0000-79-22279,FALSE, clueweb09-en0004-41-20412,FALSE, clueweb09-enwp02-14-01996,FALSE, clueweb09-en0003-45-10751,FALSE, clueweb09-en0000-79-30167,FALSE, clueweb09-en0003-45-10740,FALSE, clueweb09-en0008-59-17389,FALSE, clueweb09-en0000-79-22431,TRUE
38O9DZ0A763IDLU9WNBIJ5RI80526M,3QL2OFSM9BY658QXIZS6LDIDFU6NCV,AXID3RPK6NZT6,68000, Cheap dog food, Dog food at a good price., Pets, clueweb09-en0003-58-14697,FALSE, clueweb09-en0005-55-18707,TRUE, clueweb09-en0006-74-29079,FALSE, clueweb09-en0001-53-29127,FALSE, clueweb09-en0006-63-11865,FALSE, clueweb09-en0006-63-11863,FALSE, clueweb09-en0000-65-05278,FALSE, clueweb09-en0000-65-05300,FALSE, clueweb09-en0009-89-13329,TRUE, clueweb09-en0009-71-09109,TRUE
38O9DZ0A763IDLU9WNBIJ5RI80526M,30BUDKLTXIBHCH45AQ2FHKIU9LK5EH,AXEZ31YCS9PJA,41000, buy a new home, wanted to buy a new home near buy to my place in a affordable price, Home, clueweb09-en0011-30-19208,FALSE, clueweb09-en0002-24-33058,FALSE, clueweb09-en0009-93-06960,TRUE, clueweb09-en0011-08-10401,FALSE, clueweb09-en0003-53-13810,TRUE, clueweb09-en0001-19-00184,FALSE, clueweb09-en0007-53-40365,FALSE, clueweb09-en0011-30-19211,FALSE, clueweb09-en0007-25-07090,FALSE, clueweb09-en0005-59-28817,FALSE
38O9DZ0A763IDLU9WNBIJ5RI80526M,31UV0MXWNVSTSM6R69S62ZGM1ER5IQ,A14N7TK3CEQVAE,105000, catholic art, catholic italian art, Arts, clueweb09-en0004-67-34562,FALSE, clueweb09-en0002-10-32358,FALSE, clueweb09-en0007-52-17599,FALSE, clueweb09-en0000-77-28028,FALSE, clueweb09-en0005-94-25060,FALSE, clueweb09-en0000-77-28032,FALSE, clueweb09-en0005-11-34342,TRUE, clueweb09-en0009-90-07285,TRUE, clueweb09-en0002-37-09412,TRUE, clueweb09-en0009-25-25162,TRUE
38O9DZ0A763IDLU9WNBIJ5RI80526M,3I02618YA5M2UNJAK5QYJ89EM9EUP8,A1YSJ6A0HH6GRG,311000, The importance of technology in education, This research is important because it will show the importance of technology in education during the corona virus pandemic period, Technology, clueweb09-en0006-40-27096,FALSE, clueweb09-en0005-81-03829,FALSE, clueweb09-en0010-66-16016,TRUE, clueweb09-en0009-12-38914,FALSE, clueweb09-en0009-24-23969,FALSE, clueweb09-en0010-24-06515,TRUE, clueweb09-en0011-88-37635,TRUE, clueweb09-en0005-92-28283,FALSE, clueweb09-en0007-36-13784,TRUE, clueweb09-en0002-37-33800,TRUE
38O9DZ0A763IDLU9WNBIJ5RI80526M,3AMYWKA6YG2Z7CH89NFGE2Q89I0O6J,AQ5H9HKYEGCXA,825000, i phone, which model in I phone is best to buy in best budget, Technology, clueweb09-en0001-24-11993,FALSE, clueweb09-en0005-54-09473,FALSE, clueweb09-en0003-76-09852,FALSE, clueweb09-en0005-54-09472,FALSE, clueweb09-en0007-59-38231,FALSE, clueweb09-en0005-45-19319,FALSE, clueweb09-en0003-76-09854,FALSE, clueweb09-en0005-29-33650,FALSE, clueweb09-en0003-31-27473,FALSE, clueweb09-en0002-75-13428,TRUE
38O9DZ0A763IDLU9WNBIJ5RI80526M,3TVRFO09GPV4K6Y7XI8EMYZYBHTLXS,ALFOK7VGGQF3N,134000, How to feed a new born baby, I need to know how a mother should feed her baby, Parenting, clueweb09-en0004-29-33779,FALSE, clueweb09-en0005-89-05756,FALSE, clueweb09-en0006-09-28315,TRUE, clueweb09-en0000-18-08690,TRUE, clueweb09-en0004-71-15593,TRUE, clueweb09-en0005-93-07633,FALSE, clueweb09-en0005-93-08010,FALSE, clueweb09-en0003-80-18753,FALSE, clueweb09-en0003-32-27441,FALSE, clueweb09-en0010-53-25303,FALSE
38O9DZ0A763IDLU9WNBIJ5RI80526M,3XIQGXAUMHO55L95TO743THXGYZ7XI,A2PJBSDDN22XIX,105000, Travel, looking to make reservations. best to show ideas of places to go, Travel, clueweb09-en0002-80-22611,FALSE, clueweb09-en0002-45-28647,FALSE, clueweb09-en0002-41-26904,FALSE, clueweb09-en0005-33-06162,TRUE, clueweb09-en0005-84-26262,FALSE, clueweb09-en0011-33-19385,TRUE, clueweb09-en0011-81-04183,FALSE, clueweb09-en0011-81-04198,FALSE, clueweb09-en0011-19-29914,FALSE, clueweb09-en0011-77-33342,TRUE
3VP28W7DVR042PQWMNN00ME2M86ZFT,32Q90QCQ1X1KU0P8HD6LJ91C6BDEK9,A2JJF5OFND2KL5,113000, new discoveries, what new planets they found, Science, clueweb09-en0001-77-27664,FALSE, clueweb09-en0004-77-12412,TRUE, clueweb09-en0001-77-27662,FALSE, clueweb09-en0009-90-33890,FALSE, clueweb09-en0010-53-36193,FALSE, clueweb09-en0006-98-35051,FALSE, clueweb09-en0011-44-14492,FALSE, clueweb09-en0010-33-17339,FALSE, clueweb09-en0006-98-36559,FALSE, clueweb09-en0004-83-12281,TRUE
3VP28W7DVR042PQWMNN00ME2M86ZFT,3WQQ9FUS6FA2SWBNYX7SSWM08E7B8O,APF4DODEF8HBC,157000, What is the best food for a dog?, A document which contains the details about the variety of foods for the food., Pets, clueweb09-en0005-55-18745,FALSE, clueweb09-en0007-87-08106,TRUE, clueweb09-en0002-80-36324,FALSE, clueweb09-en0004-58-26771,TRUE, clueweb09-en0002-19-13012,FALSE, clueweb09-en0006-52-14063,FALSE, clueweb09-en0005-55-18689,FALSE, clueweb09-en0006-12-18238,FALSE, clueweb09-en0007-18-02726,FALSE, clueweb09-en0002-04-15950,TRUE
3VP28W7DVR042PQWMNN00ME2M86ZFT,3G5W44VEUCYIEELZN8W9JCMOJRTKGX,A1MJVTR0PCKBWW,61000, how viruses work, more information on how virus reproduce, Science, clueweb09-en0001-35-19138,FALSE, clueweb09-en0001-35-19140,FALSE, clueweb09-en0007-15-19941,TRUE, clueweb09-en0003-70-18530,FALSE, clueweb09-en0001-10-04041,FALSE, clueweb09-en0001-10-03470,FALSE, clueweb09-en0001-25-06873,FALSE, clueweb09-en0001-25-06871,FALSE, clueweb09-en0001-91-18108,FALSE, clueweb09-en0001-91-18109,FALSE
3VP28W7DVR042PQWMNN00ME2M86ZFT,3TDXMTX3CGAPBQ65BS2BU5UMX91I6I,A14N7TK3CEQVAE,75000, design, products design, Crafts &amp; Hobbies, clueweb09-en0007-29-15612,FALSE, clueweb09-en0002-17-31142,FALSE, clueweb09-en0002-17-31144,FALSE, clueweb09-en0002-91-11943,TRUE, clueweb09-en0002-91-11699,FALSE, clueweb09-en0002-85-07871,FALSE, clueweb09-en0002-85-07872,FALSE, clueweb09-en0002-72-16796,FALSE, clueweb09-en0002-72-16797,FALSE, clueweb09-en0002-48-33761,FALSE
3VP28W7DVR042PQWMNN00ME2M86ZFT,3FDJT1UU79OKYHWF6CDIFFVZTIG5K1,A3P57IUDHUKNCE,67000, the best computer scanning software, what is the best software to use for my pc, Technology, clueweb09-en0001-17-30632,FALSE, clueweb09-en0011-18-15932,TRUE, clueweb09-en0008-48-32064,FALSE, clueweb09-en0010-17-09531,TRUE, clueweb09-en0000-61-26435,TRUE, clueweb09-en0000-58-00921,FALSE, clueweb09-en0009-07-28052,FALSE, clueweb09-en0001-43-13511,FALSE, clueweb09-en0011-88-20871,FALSE, clueweb09-en0007-55-25595,TRUE
3VP28W7DVR042PQWMNN00ME2M86ZFT,36WLNQG784QJ1XLEB0TSK6IMJH6EBR,AXEZ31YCS9PJA,47000, data science, best way to extract the data from the site, Technology, clueweb09-en0005-93-39788,FALSE, clueweb09-en0003-82-02725,FALSE, clueweb09-en0005-93-39769,FALSE, clueweb09-en0002-21-04346,FALSE, clueweb09-en0011-81-33715,FALSE, clueweb09-en0001-87-22566,TRUE, clueweb09-en0001-87-22569,FALSE, clueweb09-en0003-82-02578,FALSE, clueweb09-en0001-77-04757,FALSE, clueweb09-en0005-94-20275,FALSE
3VP28W7DVR042PQWMNN00ME2M86ZFT,34BBWHLWHFRN55LB2AFFSZTZLBUIWJ,A3FLBC6LC5GJ3W,141000, Car toys," Car toys for sale, car toys collections, car toys to do it yourself", Crafts &amp; Hobbies, clueweb09-en0007-00-01498,FALSE, clueweb09-en0010-20-13130,FALSE, clueweb09-en0000-22-09650,TRUE, clueweb09-en0010-47-02025,FALSE, clueweb09-en0010-20-13163,FALSE, clueweb09-en0005-48-15489,FALSE, clueweb09-en0009-62-29512,FALSE, clueweb09-en0009-62-29607,FALSE, clueweb09-en0010-47-01995,FALSE, clueweb09-en0008-18-00091,FALSE
