HITid,AssignmentId,WorkerId,Category,Query,Num Selected,Num NR Selected,Reject
39I4RL8QHNX8DOTDWKLA9BD7OH84HF,35GCEFQ6IA4C9X8XSUSZNXLW9X3Z3U,A2VO8C41JJIQY9," Politics"," Who can introduce new bills",9,0,a
39I4RL8QHNX8DOTDWKLA9BD7OH84HF,3Z9WI9EOZ44WEAGA7EER4CYTOT8KH0,A2CFI1X8OKYIL2," Entertainment"," Taylor Swift concert dates",6,0,a
39I4RL8QHNX8DOTDWKLA9BD7OH84HF,32Z9ZLUT1Q0F411P566KBTF28YHHOG,A1E77HZO63E334," History"," history of Russia",3,0,a
39I4RL8QHNX8DOTDWKLA9BD7OH84HF,3O6CYIULEIHSEWGBWR4TB2HE58JWU9,A2H1RXUC8XNNIW," Parenting"," What a 1 year old baby can eat",4,0,a
39I4RL8QHNX8DOTDWKLA9BD7OH84HF,378XPAWRUHTQYSI815JNAAWCJUUAI5,A21UA6O7ZFAIQJ," Economy &amp; Finance"," What caused the 2008 financial collapse",8,0,a
39I4RL8QHNX8DOTDWKLA9BD7OH84HF,3BQU611VFU0JI8F055ZA1MMPUMP996,A195MOXRMNHRVT," Food &amp; Drink"," pickle salsa recipe",4,0,a
39I4RL8QHNX8DOTDWKLA9BD7OH84HF,3TXWC2NHN461NNBZEBZ1IHRFMAE9SH,A1YSYI926BBOHW," Parenting"," Signs to get your kid evaluated for autism",4,0,a
39I4RL8QHNX8DOTDWKLA9BD7OH84HF,36DSNE9QZAEBV7WFT695N6VHLQNJOP,A1O57XVTTB1PNZ," Shopping"," Where can I find the best prices on a new Macbook Pro laptop",5,0,a
39I4RL8QHNX8DOTDWKLA9BD7OH84HF,3LEP4MGT3LGE9R7EF5I8EO05977BDZ,A2LMQ4497NMK3S," History"," What is the significance of the battle of Stalingrad",9,0,a
39I4RL8QHNX8DOTDWKLA9BD7OH84HF,35USIKEBNWWHPRHW88F3ZDQ79AY6NR,A1FNNL4YJGBU8U," Parenting"," How to potty train a 2 year old",2,0,a
3U18MJKL2Y23IOS3SXM5XTMR26XNCJ,3Z9WI9EOZ44WEAGA7EER4CYTOT7HKW,A1E77HZO63E334," Arts"," art supply store chains in the US",0,0,a
3U18MJKL2Y23IOS3SXM5XTMR26XNCJ,3RGU30DZTFONV4B3GQUSV26CQQ7MJC,A2H1RXUC8XNNIW," Shopping"," what is the best deals of 2022",1,0,a
3U18MJKL2Y23IOS3SXM5XTMR26XNCJ,3Z7VU45IP3XGZUUI5QEGZ46ZBDPZ12,A1LGGK1BGSZ1R7," Politics"," Has a woman ever been Prime Minister of Canada",2,0,a
3U18MJKL2Y23IOS3SXM5XTMR26XNCJ,3O7L7BFSHJ5TO5ZKHAL96TM349SEI4,A3UUH3632AI3ZX," Sports"," who won the stanley cup in 2021",1,0,a
3U18MJKL2Y23IOS3SXM5XTMR26XNCJ,3R6P78PK7PRHHXBMHHA1K39OS6NTGH,A2VO8C41JJIQY9," Nature"," how big is grand canyon",2,0,a
3U18MJKL2Y23IOS3SXM5XTMR26XNCJ,33JKGHPFYHAJEU2OVOMKO9NTZACMNG,A2CFI1X8OKYIL2," Entertainment"," Is Yellowjackets coming back to Showtime for season 2",6,0,a
3U18MJKL2Y23IOS3SXM5XTMR26XNCJ,3PEIJLRY6Y9KV0A61WFGV9GIZQ0XW2,A1YSYI926BBOHW," Nature"," what are the longest living animals",10,0,a
3U18MJKL2Y23IOS3SXM5XTMR26XNCJ,3DEL4X4ELB1OK556GXX4G61YAY1XY2,A2615YW1YERQBO," Politics"," Governor Jerry Brown",2,0,a
3U18MJKL2Y23IOS3SXM5XTMR26XNCJ,31JLPPHS2ZA0ATUQQLHI7ZESPT1O3I,A2LMQ4497NMK3S," Any"," When was the first test flight of the space shuttle",3,0,a
3U18MJKL2Y23IOS3SXM5XTMR26XNCJ,3CFVK00FWQ1R1REBWVZOMLMI4FY6LP,A1FNNL4YJGBU8U," Pets"," How to potty train a pitbull",7,0,a
